iter	Passed	Remaining
0	254	254304
1	637	318327
2	1193	396712
3	1646	409969
4	2130	423919
5	2508	415641
6	2965	420736
7	3376	418661
8	3766	414727
9	4041	400087
10	4344	390625
11	4715	388202
12	4980	378153
13	5272	371366
14	5658	371585
15	5836	358930
16	6096	352528
17	6392	348772
18	6584	339946
19	6802	333324
20	6989	325835
21	7269	323166
22	7564	321313
23	7732	314439
24	7924	309058
25	8211	307600
26	8717	314155
27	9237	320682
28	9718	325415
29	10208	330075
30	10670	333537
31	11138	336924
32	11578	339283
33	12082	343282
34	12557	346228
35	13073	350074
36	13405	348899
37	13739	347837
38	14111	347727
39	14437	346508
40	14879	348036
41	15220	347183
42	15647	348243
43	15985	347320
44	16453	349186
45	16878	350042
46	17343	351676
47	17787	352788
48	18254	354277
49	18695	355219
50	19158	356492
51	19599	357315
52	20027	357857
53	20442	358130
54	20887	358880
55	21395	360666
56	21816	360933
57	22109	359089
58	22518	359151
59	22900	358774
60	23085	355370
61	23364	353484
62	23514	349727
63	23735	347130
64	24158	347505
65	24586	347935
66	25049	348818
67	25473	349139
68	25865	348991
69	26275	349085
70	26712	349516
71	27271	351501
72	27713	351917
73	28231	353270
74	28525	351810
75	28836	350587
76	29057	348308
77	29292	346247
78	29580	344860
79	29782	342493
80	30076	341243
81	30377	340083
82	30678	338941
83	30908	337050
84	31098	334761
85	31363	333332
86	31536	330953
87	31739	328935
88	32058	328145
89	32252	326105
90	32640	326050
91	33169	327364
92	33589	327591
93	34047	328162
94	34513	328782
95	34964	329249
96	35458	330092
97	35922	330638
98	36342	330757
99	36801	331210
100	37233	331418
101	37678	331717
102	38118	331965
103	38407	330895
104	38577	328825
105	38842	327596
106	39061	325999
107	39380	325249
108	39629	323940
109	39864	322536
110	40172	321742
111	40622	322081
112	41063	322330
113	41509	322609
114	41935	322718
115	42381	322977
116	42828	323225
117	43280	323503
118	43701	323539
119	44169	323911
120	44518	323400
121	44878	322980
122	45149	321917
123	45319	320163
124	45642	319495
125	45870	318178
126	46280	318135
127	46571	317265
128	46886	316575
129	47184	315773
130	47496	315074
131	47960	315379
132	48445	315805
133	48874	315858
134	49312	315966
135	49774	316213
136	50288	316779
137	50673	316526
138	51078	316393
139	51428	315914
140	51797	315558
141	52096	314781
142	52358	313783
143	52658	313025
144	53061	312878
145	53376	312216
146	53726	311761
147	54069	311265
148	54445	310959
149	54660	309741
150	54877	308549
151	55158	307725
152	55376	306561
153	55768	306363
154	56228	306534
155	56628	306373
156	57017	306152
157	57470	306267
158	57898	306242
159	58358	306382
160	58813	306486
161	59263	306560
162	59838	307271
163	60229	307022
164	60661	306984
165	61154	307243
166	61531	306921
167	61946	306782
168	62306	306372
169	62622	305746
170	62812	304510
171	63006	303310
172	63195	302094
173	63500	301445
174	63830	300917
175	64281	300952
176	64713	300898
177	65136	300797
178	65609	300923
179	66081	301038
180	66520	300994
181	66950	300908
182	67396	300890
183	67921	301218
184	68266	300739
185	68689	300609
186	68984	299914
187	69184	298817
188	69659	298907
189	70094	298825
190	70375	298084
